date,step_count,distance,user
2020-12-17,8705,6100,Marcelina
2020-12-18,10177,6700,Marcelina
2020-12-19,1641,1000,Marcelina
2020-12-20,12573,8500,Marcelina
2020-12-21,14097,9200,Marcelina
2020-12-22,285,190,Marcelina
2020-12-23,122,80,Marcelina
2020-12-24,4270,2200,Marcelina
2020-12-25,6170,3800,Marcelina
2020-12-26,598,400,Marcelina
2020-12-27,5102,3000,Marcelina
2020-12-28,7461,4700,Marcelina
2020-12-29,739,440,Marcelina
2020-12-30,54,30,Marcelina
2020-12-31,4499,3400,Marcelina
2021-01-01,7835,5800,Marcelina
2021-01-02,6594,5000,Marcelina
2021-01-03,9829,6400,Marcelina
2021-01-04,7447,4900,Marcelina
2021-01-05,3491,2700,Marcelina
2021-01-06,5633,4300,Marcelina
